id;type_compte;solde;plafond_transaction;limite_retraits_mensuels;taux_interet;date_ouverture;date_fermeture;statut;iban
1;mismatch;16778.19;17463.5;9177;17510.93;2025-07-20T01:52:02;2025-07-20T00:34:00;hence confute;VG62QVRI1900223500430095
2;excepting;14158.12;4861.44;17105;30307.52;2025-07-20T14:55:13;2025-07-19T23:27:32;yowza phew bony;BE53005008578043
3;tremendously anenst phew;27885.04;12991.89;8078;24512.58;2025-07-20T19:49:39;2025-07-20T16:02:30;so tune commemorate;BA677360240806801077
4;conceal winged;973.17;12937.83;4536;22720.07;2025-07-20T14:47:01;2025-07-19T23:42:50;account;IS930072367008919002150074
5;armoire jaggedly;30899.79;20545.98;24840;2684.21;2025-07-19T23:49:45;2025-07-20T09:50:58;greedily;HR2019427532500677107
6;bicycle;18358.01;25534.53;16845;24572.48;2025-07-20T15:36:31;2025-07-20T22:01:29;spirit key legend;CR66103604748590060075
7;mould hunger;92.9;30533.02;12447;25511.56;2025-07-20T12:56:53;2025-07-20T11:46:21;peony indeed pfft;RS86044605500545610064
8;drat worth decode;18798.26;5312.3;18101;10129.12;2025-07-20T21:15:39;2025-07-20T06:52:40;homeschool granny;GB02PBXX00307020925745
9;till rule boastfully;32120.98;23540.87;25082;20627.14;2025-07-20T06:20:11;2025-07-20T19:50:24;weary converse;LI6053001A47X82P78Z89
10;if chilly;26814.53;10224.25;15586;17859.26;2025-07-20T01:07:18;2025-07-20T08:34:33;meh marten;ME02005001798750730504
